X,Y
-6,10
1,4
-6,8
7,9
14,13
16,12
25,6
24,7
14,15
10,4
8,4
15,7
3,10
-9,9
9,2
7,10
8,13
21,17
24,22
44,38
49,48
15,31
-4,33
4,30
0,28
-2,33
-9,30
-17,15
-7,-2
-6,-7
-5,3
-5,13
-5,18
6,24
-10,18
-7,17
-10,8
-14,-3
-14,-5
-9,5
-18,13
-16,5
-19,6
-13,4
-11,14
-15,28
-20,4
-13,12
-14,21
-8,9
-6,8
-2,12
2,15
17,26
6,25
12,0
18,-5
2,5
7,-8
13,3
9,0
-10,-16
-13,-28
-16,-32
-22,-22
-24,-15
-25,-6
-21,-3
-29,-14
-41,-16
-32,-16
-37,-31
-38,-33
-41,-30
-33,-22
-32,-12
-35,-14
-21,-29
-21,-24
-20,-13
-23,-18
-14,-1
-27,0
-24,-1
-22,-11
-24,-1
-15,0
-14,-18
-15,-24
-8,-15
-9,-11
-10,-12
-7,-27
-7,-30
-9,-18
-14,-10
-9,-23
-15,-37
-13,-37
-14,-32
0,-98
8,-71
-9,-28
-13,-10
-13,7
-10,1
-7,-1
-5,1
-5,11
-8,5
-15,-4
-20,7
-12,8
-15,-4
-17,-15
-14,-22
-5,-31
-1,-40
-4,-36
-1,-32
-1,-35
-6,-33
-3,-25
-6,-34
-8,-39
-5,-40
-2,-37
2,-30
-3,-24
-1,-25
-4,-24
3,-22
-3,-19
5,-30
12,-25
10,-31
8,-31
17,-35
13,-29
11,-19
1,-16
0,-6
-4,-3
-5,-4
-5,-2
-6,-4
-6,-9
-6,-1
-6,-5
-7,-5
-2,-3
-5,-4
-7,-1
-7,-4
-7,-1
-4,0
-2,-2
-3,-4
-9,-2
-8,-5
-8,-3
-4,-3
-9,-1
-6,-4
-8,-3
-4,-5
-6,-1
-8,-5
-6,-2
-7,-4
-7,-5
-6,-5
-7,-3
-13,-9
-10,-9
-20,-15
-46,-51
-113,-133
-177,-215
-198,-245
-199,-239
-193,-227
-185,-208
-191,-202
-167,-186
-149,-156
-141,-126
-145,-105
-146,-101
-126,-78
-130,-124
-151,-124
-167,-115
-166,-147
-157,-128
-188,-148
-188,-185
-161,-191
-183,-222
-216,-246
-184,-242
-182,-215
-189,-214
-226,-252
-200,-188
-162,-235
-226,-185
-219,-188
-161,-254
-262,-242
-271,-231
-217,-185
-193,-214
-174,-135
-253,-211
-290,-183
-266,-196
-227,-231
-284,-229
-289,-217
-245,-142
-248,-241
-233,-184
-251,-239
-294,-204
-302,-230
-281,-320
-227,-205
-223,-160
-248,-180
-272,-91
-304,-244
-314,-64
-335,-269
-227,-177
-270,-158
-378,-204
-381,-167
-330,-222
-215,-229
-259,-85
-270,-107
-69,0
-292,-127
-225,-136
-81,125
-196,-249
-344,-135
-232,-247
-253,-204
-154,-5
-349,-168
-246,-108
-100,-58
-237,-241
-196,-116
-15,-159
-224,38
-176,-119
-101,-139
31,55
-22,50
-277,-177
-147,-196
-459,-100
-103,65
-190,-13
-194,-56
70,94
-204,-78
-173,-93
-132,-34
-86,45
-57,-44
93,100
74,-64
-7,-290
-206,12
116,225
-237,-328
-147,-151
155,-177
-326,-8
-70,92
-9,-137
116,133
152,91
4,67
-86,-273
19,-39
-264,-93
-196,-102
-14,-204
-53,-65
-18,-69
-163,-221
-78,41
60,128
96,41
-58,-35
-130,-176
-13,58
-339,-183
-291,167
130,-184
-336,-115
-200,-88
-171,-95
-130,-146
-204,20
5,64
-24,-6
-69,75
-386,79
-190,69
-508,-261
-264,175
2,34
74,-18
110,141
-405,-57
-17,-200
-379,14
-119,142
-97,-108
77,-285
263,106
96,240
186,-114
-193,15
189,-162
-2,115
53,-76
46,-25
117,330
-30,-173
39,-218
-57,14
-286,-43
218,292
-6,-55
-47,154
108,106
251,-99
-292,184
-163,-177
-104,97
-11,25
-302,-32
-126,292
-90,26
-67,-61
-104,-236
128,-4
-78,123
-83,-39
-21,-166
346,29
-124,232
162,-6
-202,247
-157,120
-128,442
-4,198
-19,8
-109,-38
-39,250
-34,-101
-166,-44
92,220
41,33
-32,228
122,98
-170,-5
-121,-38
435,207
93,-59
293,292
-131,45
139,235
-131,-110
-151,98
236,160
-87,277
179,111
91,134
27,-98
235,105
180,223
317,91
222,347
240,-93
99,298
275,67
399,96
78,218
151,91
303,245
363,220
198,-93
224,232
274,163
165,114
323,294
412,125
224,125
254,18
208,221
137,15
344,50
201,180
182,23
345,256
105,148
239,199
293,69
214,198
98,98
414,42
280,143
320,166
255,264
244,179
52,307
205,66
101,79
110,218
189,250
210,294
179,100
57,199
79,63
80,240
71,234
119,230
-51,192
113,68
-28,197
84,91
74,108
-18,200
23,249
51,114
-50,132
7,130
32,135
127,142
92,188
102,89
57,141
68,115
-9,160
89,139
92,159
37,154
118,184
77,197
135,140
53,131
155,105
125,128
56,85
131,83
130,96
85,95
119,118
165,77
183,112
130,90
173,103
176,146
156,99
207,141
170,145
140,101
204,91
164,148
207,118
218,126
148,101
185,129
210,118
179,136
146,90
128,97
154,82
162,107
176,124
153,122
159,131
148,110
141,105
130,102
139,108
130,117
120,108
109,111
97,105
77,101
73,94
59,89
54,82
36,66
18,35
0,9
-4,0
-8,2
-6,0
-6,-5
-5,-3
-6,-4
-6,-6
-5,0
-8,-4
-4,-5
-3,3
-1,1
0,6
1,21
1,57
0,95
-5,134
-10,157
-9,167
-5,169
-1,156
-2,139
-4,126
-10,120
-23,89
-19,101
-27,112
-27,100
-9,117
-11,94
-19,110
-25,92
-24,106
-26,125
-30,131
-25,100
-20,130
-36,91
-22,118
-33,134
-25,187
-31,166
-37,187
-39,140
-39,147
-33,160
-46,165
-34,128
-22,151
-50,153
-39,162
-3,188
-7,183
-11,127
-30,147
-35,234
44,162
10,185
-3,172
20,63
-16,148
3,173
40,222
52,132
1,151
23,110
30,235
33,201
15,116
39,275
40,148
66,208
85,258
23,263
43,180
69,256
75,189
80,173
29,182
18,176
81,91
45,234
50,189
78,248
74,244
92,195
106,283
47,235
110,273
31,185
53,219
48,291
93,224
26,245
98,254
33,270
107,212
-3,158
110,210
120,238
44,268
-37,205
33,100
-3,192
72,115
48,326
59,188
-31,347
9,87
14,312
44,207
-4,259
-20,365
168,319
35,308
42,229
-28,241
36,171
-35,178
-26,85
37,387
56,104
2,286
-37,40
112,286
84,415
-52,44
164,233
74,346
115,337
120,144
119,336
-262,202
-102,233
50,62
-174,178
17,107
52,383
-83,-26
-48,211
31,271
-128,-26
-204,176
10,273
32,158
86,320
26,354
7,206
-76,180
94,247
160,396
67,133
-23,410
26,161
361,322
52,241
-272,77
311,443
-117,141
135,-57
-8,395
-87,126
-171,21
-74,6
60,37
-72,2
89,200
-130,251
-82,342
-23,501
-47,77
-249,136
211,61
-92,334
82,44
-238,261
8,-40
-134,435
189,-82
-184,108
46,535
-30,-58
111,68
-665,-270
-281,-203
191,417
-325,-147
-183,312
-92,-38
-258,361
-147,161
-26,50
-8,-73
105,230
-146,100
-174,342
13,99
-186,14
434,550
198,261
182,306
-422,-50
-173,-91
-52,188
-390,80
-239,-27
97,154
-167,168
229,-20
-207,-137
247,345
234,-287
62,404
19,-131
-175,-43
-153,145
199,120
-74,-165
86,34
-360,-98
-363,-112
130,353
594,0
-74,-466
410,274
17,152
435,-193
281,-28
-69,94
-27,-299
206,224
38,271
-304,-107
365,328
150,-331
68,-145
88,14
53,-167
-152,-272
-43,-318
204,-10
261,-173
-33,78
-193,-132
164,-116
-215,-439
204,39
132,71
-53,-230
46,-147
160,93
82,-110
77,319
-180,-249
85,-44
-16,-17
-148,-263
-205,-299
24,298
59,-140
41,19
-217,-208
-70,-149
168,-140
-140,-344
-52,-265
-149,-31
36,-372
-16,257
171,-162
-344,-252
51,-232
46,-3
-136,-304
50,-275
-160,-127
243,-99
-52,-365
-163,-313
-159,-157
-157,-415
-48,-101
-178,-352
50,-174
71,-161
70,46
-182,-457
138,-177
21,-220
86,-319
-110,-178
-173,-90
-221,-257
37,-523
-214,-251
-126,-351
-15,-178
-125,-462
-247,-374
16,-308
-171,-286
-125,-410
-65,-160
-60,-321
-102,-457
71,-251
-167,-144
16,-460
3,-325
-192,-358
135,-313
-99,-326
105,-293
-118,-297
-12,-323
156,-223
-5,-193
-91,-420
-99,-243
15,-395
-96,-248
-84,-382
-83,-214
1,-365
-11,-229
-136,-424
48,-234
-86,-272
-93,-353
-123,-281
-34,-444
41,-448
-108,-262
50,-403
7,-256
40,-334
-25,-316
-7,-258
-62,-375
16,-173
27,-328
5,-294
-39,-219
-29,-374
-29,-336
-42,-244
-4,-253
-85,-310
-24,-357
-75,-363
-21,-237
-61,-314
-54,-322
-26,-263
-83,-243
-79,-298
-55,-337
-107,-251
-94,-257
-71,-225
-88,-290
-85,-215
-52,-222
-67,-255
-102,-248
-45,-234
-31,-241
-48,-263
-45,-252
-42,-207
-34,-245
-38,-201
-51,-210
-15,-183
