X,Y
-193,86
-179,119
-171,65
-84,89
-192,79
-175,48
-185,110
-115,49
-263,38
-161,154
-129,-8
-179,125
-215,75
-161,54
-218,83
-191,110
-237,-39
-201,71
-144,92
-168,36
-100,67
-171,117
-185,-85
-152,170
-212,53
-172,127
-201,92
-243,109
-163,92
-152,97
-239,146
-133,12
-151,170
-207,-4
-123,136
-215,31
-240,97
-172,94
-214,86
-75,152
-265,56
-149,55
-104,197
-188,-11
-129,4
-104,171
-269,59
-172,147
-205,30
-133,-33
-127,157
-157,65
-145,190
-31,96
-157,146
-145,258
-20,137
-245,-1
-180,110
-242,250
-194,-56
138,108
-96,168
-56,56
-165,10
51,192
-123,63
-102,68
-156,219
-226,-68
-101,217
-37,-43
-307,193
-222,172
9,196
-241,-67
51,229
-235,-21
-6,303
22,47
54,280
-289,-212
-120,236
-12,88
7,74
-57,254
87,162
42,15
51,159
75,320
20,208
-277,220
-60,223
-103,262
-114,51
-151,192
112,231
-101,-93
-218,322
-61,11
-31,327
-96,75
-59,368
147,296
135,120
-60,228
157,6
-177,291
-252,-213
-7,300
84,-120
-217,36
-16,212
-33,155
-26,-8
30,176
205,518
82,180
138,22
-47,328
165,241
262,316
272,194
189,284
-77,378
335,-20
121,110
52,-63
148,342
35,32
169,202
-220,207
33,73
79,273
-2,55
28,81
-49,138
85,-38
203,340
-115,-81
-88,253
180,45
32,102
68,322
39,-35
198,218
132,110
33,46
96,348
40,103
181,242
128,82
131,427
292,-232
322,258
258,352
16,58
-179,-45
226,256
12,82
249,211
-177,32
117,-84
-11,175
-85,106
269,48
287,-19
184,187
-30,297
137,282
364,346
-99,47
128,21
-26,202
24,75
9,221
441,291
-61,-87
133,58
230,411
336,316
62,128
194,254
187,374
241,36
-59,64
183,272
32,150
-1,128
383,372
145,141
240,386
408,228
-66,159
140,64
-25,-53
159,283
277,107
27,-105
279,309
-110,108
92,315
145,-97
162,-45
316,174
20,84
180,408
368,122
115,239
307,184
296,63
214,265
-13,-79
466,-55
-17,554
17,118
-24,164
-41,58
74,47
365,-34
125,358
103,-61
692,295
-192,-40
271,89
81,125
349,-60
457,325
271,32
288,7
237,227
628,-48
446,62
74,86
182,38
96,73
504,-3
248,180
232,81
650,247
458,181
181,28
285,10
262,202
312,-87
57,-104
261,358
471,-60
350,-23
232,104
353,-66
354,180
387,112
74,194
282,199
363,162
852,179
9,-39
214,52
347,-35
132,-165
72,95
792,333
298,102
429,246
657,203
403,-117
250,-288
416,205
224,-275
213,-349
-19,-196
589,158
479,-58
242,-350
496,-76
355,84
513,166
522,7
379,54
504,-209
444,332
132,33
522,-137
356,-231
-10,-96
560,227
830,14
193,-146
139,-252
363,58
118,-304
