X,Y
-160,99
-123,82
-127,109
-173,96
-170,105
-148,106
-167,110
-197,124
-175,73
-196,150
-205,103
-172,119
-188,119
-126,71
-171,130
-182,198
-227,180
-218,68
-186,81
-240,91
-180,109
-163,120
-161,67
-214,156
-129,2
-172,189
-162,64
-234,211
-187,88
-130,195
-181,225
-180,184
-271,116
-120,45
-193,224
-152,49
-260,193
-126,41
-159,46
-232,237
-87,184
-52,117
-146,137
-126,181
-52,195
-115,161
-131,123
-19,112
-113,86
-28,207
-85,115
-97,113
17,210
-118,104
63,144
-55,209
51,50
-35,192
136,71
-24,171
-79,123
70,146
28,167
-83,148
127,46
23,330
107,229
-64,112
110,253
39,215
66,215
33,231
35,433
-26,326
171,158
-78,123
-83,150
-7,218
-152,244
20,202
-239,41
-78,88
90,309
-99,217
-84,235
-54,199
8,193
-141,346
-119,208
-116,41
-79,86
-74,267
-79,192
-62,328
-442,-35
-74,407
-75,184
-274,170
-112,71
-139,109
71,92
-122,249
-244,119
39,148
13,500
-69,317
291,245
-80,252
-106,265
-149,-53
-33,258
-212,288
-201,282
46,344
15,277
81,271
-410,441
32,311
-5,375
-133,119
-99,270
278,171
156,295
-166,145
170,229
197,-36
309,514
-37,96
27,200
26,407
266,144
305,101
143,213
115,186
-222,1
15,-30
-111,403
93,273
91,-125
-46,108
-82,96
330,-18
160,-10
278,313
-45,-106
149,534
23,32
324,238
247,160
106,178
50,72
186,31
257,307
102,-22
180,61
160,232
120,258
282,213
128,2
394,262
20,-86
102,257
450,167
294,266
10,271
341,217
294,-29
293,326
147,178
306,170
303,3
413,158
126,-19
419,260
-86,282
289,-70
84,150
198,-48
152,-298
403,252
345,-47
553,261
-11,-1
135,-82
175,8
164,91
460,209
174,207
358,11
0,-152
601,118
173,191
408,200
305,121
659,-168
208,278
577,21
299,-181
11,-170
167,-249
81,127
148,-70
75,-63
152,-163
271,-5
379,-79
556,94
404,56
335,-141
192,-208
564,-95
366,-132
74,-499
326,-80
513,-63
241,-149
680,-233
424,-111
111,-173
194,-181
583,-20
560,-360
252,-69
486,-95
478,-258
203,-155
384,-128
350,-223
209,-179
459,-250
606,-73
486,-343
352,-437
421,-200
432,-392
360,86
289,-247
469,-161
-9,-516
253,-292
452,-220
151,-226
265,-86
275,-291
76,-450
23,-124
161,-431
278,-282
296,-225
232,-268
257,-195
177,-261
115,-582
19,-262
191,-520
334,-363
288,-588
-11,-353
129,-334
425,-196
295,-117
65,-230
-84,-387
278,-403
150,-441
-111,-500
340,-290
156,-643
72,-345
21,-215
276,-245
202,-232
91,-314
30,-402
59,-316
-65,-337
58,-181
240,-280
230,-288
-59,-446
29,-401
-11,-398
81,-197
91,-332
53,-335
46,-337
137,-267
69,-272
-158,-504
-68,-327
34,-396
198,-247
143,-510
-118,-385
14,-298
-64,-577
-13,-212
24,-425
-210,-440
-21,-432
17,-341
34,-332
-26,-291
-152,-460
76,-351
24,-212
-59,-366
3,-221
-56,-577
-58,-276
-116,-326
47,-299
-105,-461
-105,-295
45,-393
-85,-260
-127,-476
-88,-429
42,-324
-69,-447
-83,-212
-92,-373
-64,-344
-154,-291
-22,-374
7,-200
10,-371
-22,-387
-276,-439
-179,-407
-126,-266
-202,-354
-31,-330
0,-202
-170,-375
-247,-269
-115,-201
-195,-227
-57,-306
-2,-304
-83,-255
-160,-124
-84,-223
-107,-352
-181,-269
-151,-343
-116,-207
-123,-325
-321,-273
-155,-290
-156,-293
-126,-346
-161,-172
-72,-299
-167,-339
-239,-231
-138,-322
-35,-343
-78,-91
-184,-284
41,-67
-119,-145
-188,-271
-112,-222
-103,-181
-148,-231
-174,-324
12,-265
-196,-122
-84,-164
-59,-307
-128,-142
-66,-89
-121,-284
-299,-378
93,-295
-71,-332
-50,-34
-63,-341
-296,-288
-119,-300
-6,20
-315,-250
32,-19
-259,-239
-78,-116
-165,-359
-224,-316
16,-314
-183,22
-207,-322
-99,-99
-337,-324
-224,-278
-134,-300
-146,-61
-372,-452
-311,-279
-53,-187
-244,-147
-192,-227
-118,-150
-376,-325
-483,-368
-223,-343
-173,-131
-520,-371
-100,-412
-362,-284
-331,-94
-219,-204
-466,-460
-310,-134
-26,-31
-242,-302
-63,-82
-375,-79
-332,-544
-73,101
-413,-207
-166,-99
-316,-284
-558,-123
-582,-139
-247,-111
-56,19
-293,-179
-225,-297
-316,-90
-510,-55
-482,25
108,-61
-329,-181
-400,-91
-328,-213
-502,-412
-275,-140
-380,-239
-246,56
-464,-259
-258,-169
-412,109
-388,-241
-306,31
-542,-149
-354,302
-120,-80
-481,-291
-235,-224
69,-124
-394,86
-345,117
-244,110
-213,-104
-385,-200
-259,8
-12,327
-373,-242
-181,41
-355,61
-213,93
-104,-152
-202,-22
-311,-19
-381,-80
-563,-99
-167,100
-138,150
-465,-13
-133,287
-212,-38
-533,-118
-575,74
-229,16
-410,-200
-173,2
-302,4
-223,351
-266,-158
-440,266
-119,275
-390,73
-201,337
-314,82
-245,135
-235,444
-414,21
-513,228
-44,163
-95,291
-299,-74
59,240
-299,47
-174,201
-154,289
-298,257
-151,65
-80,290
-77,98
-153,227
-156,308
-31,35
-103,299
-142,361
-224,260
-292,48
-188,-175
-151,538
-87,46
-257,80
-127,208
-141,346
306,422
-196,-33
-226,122
-103,194
-26,450
162,68
-100,367
-218,181
6,-21
131,682
-130,209
-127,236
-487,31
-343,216
-144,280
-155,61
-123,324
15,161
87,197
-167,-125
-150,297
16,394
53,101
41,280
-103,233
13,465
-22,164
-109,200
3,355
132,319
-68,296
-67,318
-169,94
-21,278
168,339
-39,277
-309,271
-126,287
29,146
29,373
-18,414
-38,233
-296,64
9,306
20,207
159,380
-4,272
26,338
133,113
132,314
39,235
19,411
78,198
40,16
151,606
204,264
81,94
88,463
56,176
40,313
49,255
77,221
122,251
229,211
109,317
214,153
101,242
92,209
99,134
140,261
143,352
236,265
198,283
198,229
75,222
154,189
204,222
200,265
202,152
188,228
156,259
134,271
72,251
159,125
146,245
166,193
143,309
200,188
116,244
129,203
174,258
126,177
144,204
140,191
155,221
130,236
178,254
156,214
121,187
172,219
142,189
176,162
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
